name,acronym,website,description,donate_url,involvement_url,facebook_url,twitter_handle,categories
American Civil Liberties Union,ACLU,https://www.aclu.org/,"For almost 100 years, the ACLU has worked to defend and preserve the individual rights and liberties guaranteed by the Constitution and laws of the United States.",https://action.aclu.org/secure/protect-rights-freedoms-we-believe-0,https://www.aclu.org/how-you-can-help,https://www.facebook.com/aclu.nationwide,@aclu,civil_rights
Southern Poverty Law Center,SPLC,https://www.splcenter.org,"The SPLC is dedicated to fighting hate and bigotry and to seeking justice for the most vulnerable members of our society. Using litigation, education, and other forms of advocacy, the SPLC works toward the day when the ideals of equal justice and equal opportunity will be a reality.",https://donate.splcenter.org/sslpage.aspx,https://www.splcenter.org/support-us,https://www.facebook.com/SPLCenter,@splcenter,civil_rights
National Latina Institute for Reproductive Health,NLIRH,http://latinainstitute.org/en,"National Latina Institute for Reproductive Health (NLIRH) builds Latina power to guarantee the fundamental human right to reproductive health, dignity and justice. We elevate Latina leaders, mobilize our families and communities, transform the cultural narrative and catalyze policy change.",https://latinainstitute.secure.nonprofitsoapbox.com/donate,http://www.latinainstitute.org/en/get-involved,https://www.facebook.com/NLIRH/,@NLIRH,racial_minorities women reproduction
TransLatin@ Coalition,TLC,https://www.translatinacoalition.org/,The mission of TransLatin@ Coalition is to advocate for the specific needs of the Trans Latin@ community that resides in the U.S.A. and to plan strategies that improve our quality of life.,https://www.translatinacoalition.org/donate/,https://www.translatinacoalition.org/get-involved/,http://www.facebook.com/translatinacoalition,@TransLatina_C,racial_minorities lgbt
Border Angels,,http://www.borderangels.org/,"Border Angels is an all volunteer, non profit organisation that advocates for human rights, humane immigration reform, and social justice with a special focus on issues related to issues related to the US-Mexican border. ",http://www.borderangels.org/our-causes/,http://www.borderangels.org/volunteers/,https://www.facebook.com/BorderAngels/?fref=ts,@border_angels,racial_minorities immigrants
Campaign Zero,,http://www.joincampaignzero.org/,"We can live in a world where the police don't kill people by limiting police interventions, improving community interactions, and ensuring accountability.",http://www.joincampaignzero.org/,http://www.staywoke.org/,,@join_campaign_0,civil_rights
Earth Guardians,,http://www.earthguardians.org/,"iuhtezcatl Martinez is not your average kid. Dubbed the 'Anti-Bieber,' he is mobilizing his army of teens in 25 countries to demand greener policy from our world's leaders.",http://www.earthguardians.org/donate,http://www.earthguardians.org/action/,https://www.facebook.com/pages/Earth-Guardians/113066278734489,@earthguardianz,environmental
League of United Latin American Citizens,LULAC,http://lulac.org/,"The Mission of the League of United Latin American Citizens is to advance the economic condition, educational attainment, political influence, housing, health and civil rights of the Hispanic population of the United States.",https://lulac.org/contribute/,https://lulac.org/advocacy/,http://www.facebook.com/pages/LULAC-National/94722630161?v=app_392248091048&ref=sgm,@lulac,racial_minorities
United We Dream,,http://unitedwedream.org/,"We seek to address the inequities and obstacles faced by immigrant youth and believe that by empowering immigrant youth, we can advance the cause of the entire community—justice for all immigrants.",https://actionnetwork.org/fundraising/fund-united-we-dream-action,http://unitedwedream.org/action/join-us/,https://www.facebook.com/UnitedWeDream,@unitedwedream,immigrants
The Trevor Project,,http://www.thetrevorproject.org/,"Founded in 1998 by the creators of the award-winning short film TREVOR, The Trevor Project is the leading national organization providing crisis intervention and suicide prevention services to lesbian, gay, bisexual, transgender and questioning (LGBTQ) young people ages 13-24.",https://give.thetrevorproject.org/checkout/donation,http://www.thetrevorproject.org/section/get-involved,https://www.facebook.com/TheTrevorProject,@trevorproject,lgbt youth
Center for Reproductive Rights,,https://www.reproductiverights.org/,"For more than 20 years, the Center for Reproductive Rights has used the law to advance reproductive freedom as a fundamental human right that all governments are legally obligated to protect, respect, and fulfill.",https://secure3.convio.net/cfrr/site/Donation2,https://www.reproductiverights.org/take-action,http://www.facebook.com/reproductiverights,@reprorights,women reproduction
Council on American Islamic Relations,CAIR,https://www.cair.com/,"CAIR's mission is to enhance understanding of Islam, encourage dialogue, protect civil liberties, empower American Muslims, and build coalitions that promote justice and mutual understanding.",https://www.cair.com/donations/general-donation/campaign/#/donation,https://www.cair.com/press-center/action-alerts.html,https://www.facebook.com/CAIRNational,@CAIRNational,muslims racial_minorites
NARAL Pro-Choice America,NARAL,http://www.prochoiceamerica.org/index-splash.html,"We are made up of pro-choice women and men across the United States. Together, we're protecting and expanding reproductive freedom.",https://actnow.prochoiceamerica.org/donate/supportnaral/,http://www.prochoiceamerica.org/get-involved/,http://www.facebook.com/naralprochoiceamerica,@naral,women reproduction
National Association for the Advancement of Colored People,NAACP,http://www.naacp.org/,"The mission of the National Association for the Advancement of Colored People (NAACP) is to ensure the political, educational, social, and economic equality of rights of all persons and to eliminate race-based discrimination.",https://donate.naacp.org/page/contribute/make-a-contribution,http://www.naacp.org/membership/,https://www.facebook.com/naacp/,@NAACP,racial_minorities
National Organization for Women,NOW,http://now.org/,"As the grassroots arm of the women’s movement, the National Organization for Women is dedicated to its multi-issue and multi-strategy approach to women’s rights, and is the largest organization of feminist grassroots activists in the United States.",http://now.org/more-ways-to-give/,http://now.org/get-involved/,http://www.facebook.com/NationalNOW,@NationalNOW,women
Planned Parenthood,,https://www.plannedparenthood.org/,"Planned Parenthood believes in the fundamental right of each individual, throughout the world, to manage his or her fertility, regardless of the individual's income, marital status, race, ethnicity, sexual orientation, age, national origin, or residence. - See more at: https://www.plannedparenthood.org/about-us/who-we-are/mission#sthash.TBpzdA3T.dpuf",https://secure.ppaction.org/site/Donation2,https://www.plannedparenthood.org/get-involved,http://www.facebook.com/plannedparenthoodaction,@PPact,women reproduction
Rape Abuse and Incest National Network,RAINN,https://www.rainn.org/index.php,"RAINN (Rape, Abuse & Incest National Network) is the nation's largest anti-sexual violence organization and carries out programs to prevent sexual violence, help victims, and ensure that perpetrators are brought to justice.",https://donate.rainn.org/,https://www.rainn.org/get-involved,https://facebook.com/rainn01,@rainn01,women sexual_abuse
The Young Center for Immigrant Childrens' Rights,,http://theyoungcenter.org/,"The mission of the Young Center for Immigrant Children’s Rights is to promote the best interests of unaccompanied immigrant children with due regard to the child’s expressed wishes, according to the Convention on the Rights of the Child and state and federal law.",https://donatenow.networkforgood.org/TheYoungCenter,http://theyoungcenter.org/act/volunteer/,http://www.facebook.com/TheYoungCenter,@TheYoungCenter,immigrants youth racial_minorities
Know Your IX,KYIX,http://knowyourix.org/,"Founded in 2013, Know Your IX is a survivor- and youth-led organization that aims to empower students to end sexual and dating violence in their schools.",https://actionnetwork.org/fundraising/support-know-your-ix-2,http://knowyourix.org/i-want-to/take-national-action/,https://www.facebook.com/knowyourIX,@knowyourIX,women sexual_abuse
Human Rights Campaign,HRC,http://www.hrc.org/,The Human Rights Campaign and the Human Rights Campaign Foundation together serve as America's largest civil rights organization working to achieve LGBTQ equality.,https://give.hrc.org/ea-action/action?ea.client.id=1954&ea.campaign.id=51848,http://www.hrc.org/support,https://www.facebook.com/humanrightscampaign,@HRC,lgbt
Electronic Frontier Foundation,EFF,https://www.eff.org/,The Electronic Frontier Foundation is the leading nonprofit organization defending civil liberties in the digital world.,https://supporters.eff.org/donate/button,https://act.eff.org/,https://www.facebook.com/eff,@eff,civil_rights
Black Lives Matter,BLM,http://blacklivesmatter.com/,Black Lives Matter is a chapter-based national organization working for the validity of Black life. We are working to (re)build the Black liberation movement.,https://donate.idex.org/checkout/donation,http://blacklivesmatter.com/getinvolved/,http://www.facebook.com/blacklivesmatter,@blacklivesmatter,racial_minorities
International Refugee Assistance Project,IRUP,http://www.refugeerights.org/,The International Refugee Assistance Project (IRAP) organizes law students and lawyers to develop and enforce a set of legal and human rights for refugees and displaced persons.,http://www.refugeerights.org/donate/,http://www.refugeerights.org/hope-help/volunteersinterns/,https://www.facebook.com/RefugeeAssist/,@RefugeeAssist,immigrants
Nationa Sexual Violence Resource Center,NSVRC,http://www.nsvrc.org/,"The NSVRC’s Mission is to provide leadership in preventing and responding to sexual violence through collaboration, sharing and creating resources, and promoting research.",http://www.nsvrc.org/donate,http://www.nsvrc.org/opportunities,http://www.facebook.com/nsvrc,@nsvrc,women sexual_abuse
Gay and Lesbian Alliance Against Defamation,GLAAD,http://www.glaad.org/,"GLAAD rewrites the script for LGBT acceptance. As a dynamic media force, GLAAD tackles tough issues to shape the narrative and provoke dialogue that leads to cultural change.",https://glaad.nationbuilder.com/donate,http://www.glaad.org/support,http://www.facebook.com/glaad,@glaad,lgbt
Anti-Defamation League,ADL,http://www.adl.org/,"The Anti-Defamation League was founded in 1913 ""to stop the defamation of the Jewish people and to secure justice and fair treatment to all.""",https://secure2.convio.net/adl/site/SPageNavigator/donation-api/donation_form_single_main_1.html,http://www.adl.org/action-center/,https://www.facebook.com/anti.defamation.league/,@ADL_National,jews
National Immigration Law Center,NILC,https://www.nilc.org/,"Established in 1979, the National Immigration Law Center (NILC) is one of the leading organizations in the U.S. exclusively dedicated to defending and advancing the rights of low-income immigrants.",https://nilc.z2systems.com/np/clients/nilc/donation.jsp,https://www.nilc.org/get-involved/,https://www.facebook.com/NationalImmigrationLawCenter,@NILC_org,immigrants
True Colors Fund,TCF,https://truecolorsfund.org/about/,"Co-founded by Cyndi Lauper, the True Colors Fund works to end homelessness among lesbian, gay, bisexual, and transgender youth, creating a world in which young people can be their true selves.",https://my.truecolorsfund.org/checkout/donation,https://truecolorsfund.org/our-work/,https://www.facebook.com/truecolorsfund/,@TrueColorsFund,homeless youth lgbt
Sierra Club,,http://www.sierraclub.org/,"Founded by legendary conservationist John Muir in 1892, the Sierra Club is now the nation's largest and most influential grassroots environmental organization -- with more than two million members and supporters.",https://vault.sierraclub.org/ways-to-give/,http://www.sierraclub.org/programs,http://facebook.com/sierraclub,@sierraclub,environmental
EarthJustice,,http://earthjustice.org/,Today’s environmental challenges are greater than ever. But we live in a country of strong environmental laws—and Earthjustice holds those who break our nation’s laws accountable for their actions.,https://secure.earthjustice.org/site/Donation2,http://earthjustice.org/action,https://facebook.com/Earthjustice,@earthjustice,environmental
Greenpeace USA,,http://www.greenpeace.org/usa/,Greenpeace is the leading independent campaigning organization that uses peaceful protest and creative communication to expose global environmental problems and to promote solutions that are essential to a green and peaceful future.,https://secure3.convio.net/gpeace/site/Donation2?df_id=3241&3241.donation=form1&autologin=true&s_src=gpwebsite,http://www.greenpeace.org/usa/get-involved/,https://www.facebook.com/greenpeaceusa,@greenpeaceusa,environmental
Everytown for Gun Safety,,http://everytown.org/,Everytown is a movement of Americans working together to end gun violence and build safer communities.,https://donate.everytown.org/donate/support-everytown-t1/,http://everytown.org/act/,https://www.facebook.com/everytownUSA,@everytown,guns
Center for Constitutional Rights,CCR,http://ccrjustice.org/,The Center for Constitutional Rights is dedicated to advancing and protecting the rights guaranteed by the U.S. Constitution and the Universal Declaration of Human Rights.,http://ccrjustice.org/donate,http://ccrjustice.org/home/get-involved,https://www.facebook.com/CenterforConstitutionalRights,@theCCR,civil_rights
Project Night Night,PNN,http://www.projectnightnight.org/,"Project Night Night donates over 25,000 Night Night Packages each year to homeless children 12 and under who need our childhood essentials to have a concrete and predictable source of security and an increased exposure to high-quality literacy materials during their time of upheaval.",http://www.projectnightnight.org/donate-money/,http://www.projectnightnight.org/get-involved/,https://www.facebook.com/projectnightnight,@projectnightx2,homeless youth
Brennan Center for Justice,,http://www.brennancenter.org/,The Brennan Center for Justice at NYU School of Law is a nonpartisan law and policy institute that seeks to improve our systems of democracy and justice.,https://donatenow.networkforgood.org/BrennanCenterforJustice,http://www.brennancenter.org/get-involved,https://www.facebook.com/BrennanCenter,@BrennanCenter,civil_rights
National Network of Abortion Funds,NNAF,https://abortionfunds.org,"The National Network of Abortion Funds builds power with members to remove financial and logistical barriers to abortion access by centering people who have abortions and organizing at the intersections of racial, economic, and reproductive justice.",https://org2.salsalabs.com/o/6713/p/salsa/donation/common/public/?donate_page_KEY=14288&okay=true,,https://facebook.com/NationalNetworkofAbortionFunds,@abortionfunds,women reproduction
MoveOn,,http://front.moveon.org/,"MoveOn is the largest independent, progressive, digitally-connected organizing group in the United States. Launched in 1998, MoveOn pioneered online organizing and advocacy techniques that have become standard in politics, nonprofits, and industry in the U.S. and worldwide.",https://act.moveon.org/donate/civ-donation,,http://www.facebook.com/moveon,@moveon,civil_rights
Boys and Girls Clubs of America,BGCA,http://www.bgca.org/Pages/index.aspx,"To enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",http://greatfutures.org/pages/waystogive.aspx,http://greatfutures.org/pages/getinvolved.aspx,http://www.facebook.com/bgca.clubs,@BGCA_Clubs,youth
Disability Rights Education and Defense Fund,DREDF,https://dredf.org/,"The Disability Rights Education and Defense Fund (DREDF), founded in 1979, is a leading national civil rights law and policy center directed by individuals with disabilities and parents who have children with disabilities.",https://dredf.org/support-our-work/,,https://www.facebook.com/DREDF.org,@DREDF,disabled
Emily's List,,https://www.emilyslist.org/,"We will work for larger leadership roles for pro-choice Democratic women in our legislative bodies and executive seats so that our families can benefit from the open-minded, productive contributions that women have consistently made in office.",https://secure.emilyslist.org/page/contribute/donate-to-emily,http://www.emilyslist.org/pages/get-involved,https://www.facebook.com/emilyslist,@emilyslist,women
Lambda Legal,,http://www.lambdalegal.org/,"Founded in 1973, Lambda Legal is the oldest and largest national legal organization whose mission is to achieve full recognition of the civil rights of lesbians, gay men, bisexuals, transgender people and those with HIV through impact litigation, education and public policy work.",https://www.lambdalegal.org/donate,http://www.lambdalegal.org/get-involved,https://www.facebook.com/lambdalegal,@LambdaLegal,lgbt
National Coalition Against Domestic Violence,NCADV,http://www.ncadv.org/,"NCADV is the voice of victims and survivors.  We are the catalyst for changing society to have zero tolerance for domestic violence.  We do this by affecting public policy, increasing understanding of the impact of domestic violence, and providing programs and education that drive that change.",http://www.ncadv.org/give-back/donate,http://www.ncadv.org/learn-more/statistics,https://www.facebook.com/nationalcoalitionagainstdomesticviolence,@ncadv,sexual_abuse women
National Immigration Forum,,https://immigrationforum.org/,"The National Immigration Forum is one of the leading immigrant advocacy organizations in the country, with a mission to advocate for the value of immigrants and immigration to the nation.",http://immigrationforum.org/heartsmindslives/,,https://www.facebook.com/pages/National-Immigration-Forum/63240625785,@NatImmForum,immigrants
National Women's Law Center,NWLC,https://nwlc.org/,"We champion policies and laws that help women and girls achieve their potential at every stage of their lives — at school, at work, at home, and in retirement.",https://secure2.convio.net/nwlc/site/Donation2;jsessionid=0324A39AE00A15AF690B5F7D27383A54.app252b?df_id=5001&5001.donation=form1,http://nwlc.org/take-action/,https://www.facebook.com/nwlc,@nwlc,youth women
Native American Rights Fund ,NARF,http://www.narf.org/,"Since 1971, the Native American Rights Fund (NARF) has provided legal assistance to Indian tribes, organizations, and individuals nationwide who may have otherwise gone without adequate representation.",http://narf.convio.net/donate,,http://www.facebook.com/pages/Native-American-Rights-Fund/133740559987144,,racial_minorites
New York City Alliance Against Sexual Assault,,http://www.svfreenyc.org/about.html,"The mission of the New York City Alliance Against Sexual Assault is to prevent sexual violence and reduce the harm it causes through education, research and advocacy. ",http://www.svfreenyc.org/support.html,http://www.svfreenyc.org/getinvolved.html,https://www.facebook.com/nycalliance/,@svfreenyc,sexual_abuse women
NextGen Climate Action,,https://nextgenclimate.org/,NextGen Climate acts politically to prevent climate disaster and promote prosperity for every American.,https://nextgenclimate.org/donate,https://nextgenclimate.org/volunteer/,https://www.facebook.com/nextgenclimate,@nextgenclimate,environmental
PEN America,,https://pen.org,PEN America stands at the intersection of literature and human rights to protect open expression in the United States and worldwide.,https://pen.org/donation,,http://www.facebook.com/PENamerican,@penamerican,civil_rights
Reporters Committee for Freedom of the Press,RCFP,https://www.rcfp.org/,"For more than 45 years, the Reporters Committee for Freedom of the Press and its staff attorneys have provided free legal resources, support, and advocacy to protect the First Amendment and freedom of information rights of journalists working in areas where U.S. law applies, regardless of the medium in which their work appears.",https://www.rcfp.org/donate,,https://www.facebook.com/ReportersCommittee,@rcfp,civil_rights
Reproductive Health Access Project,RHAP,http://www.reproductiveaccess.org/,"The Reproductive Health Access Project (RHAP) is a national organization that works directly with primary care providers, helping them integrate abortion, contraception, and miscarriage management into their practices so that everyone can receive this essential health care from their own primary care clinicians—such as family physicians, nurse practitioners, and physician assistants.",https://donatenow.networkforgood.org/1438163,http://www.reproductiveaccess.org/get-involved/,https://www.facebook.com/reproductiveaccess,@RHAP1,reproduction women
She Should Run,,http://www.sheshouldrun.org/,She Should Run is a non-partisan 501(c)3 organization expanding the talent pool of future elected female leaders. She Should Run started as a project in 2008 and has evolved to become a movement working to create a culture that inspires women and girls to aspire towards public leadership.,http://www.sheshouldrun.org/donate,http://www.sheshouldrun.org/join_our_cause,https://www.facebook.com/sheshouldrun/,@SheShouldRun,women
Sylvia Rivera Law Project,SRLP,http://srlp.org/,"The Sylvia Rivera Law Project (SRLP) works to guarantee that all people are free to self-determine their gender identity and expression, regardless of income or race, and without facing harassment, discrimination, or violence.",http://srlp.org/srlp/?page=CiviCRM&q=civicrm/contribute/transact&reset=1&id=4,http://srlp.org/get-involved/,http://www.facebook.com/sylviariveralawproject,@srlp,lgbt
Union of Concerned Scientists,UCS,http://www.ucsusa.org/,"Our scientists and engineers develop and implement innovative, practical solutions to some of our planet’s most pressing problems—from combating global warming and developing sustainable ways to feed, power, and transport ourselves, to fighting misinformation, advancing racial equity, and reducing the threat of nuclear war.",https://secure3.convio.net/ucs/site/Donation2?df_id=1440&1440.donation=form1&s_src=donatemenu&_ga=1.15842550.15557558.1479158677,http://www.ucsusa.org/action-center,http://www.facebook.com/unionofconcernedscientists,@UCSUSA,environmental
American Association of People with Disabilities,AAPD,http://www.aapd.com/,"The American Association of People with Disabilities (AAPD) is a convener, connector, and catalyst for change, increasing the political and economic power of people with disabilities.",https://aapd.kindful.com/?campaign=238334,http://www.aapd.com/get-involved/,https://www.facebook.com/DisabilityPowered/,@AAPD,disabled
Mental Health America,MHA,http://www.mentalhealthamerica.net/,Mental Health America (MHA) – founded in 1909 – is the nation's leading community-based nonprofit dedicated to addressing the needs of those living with mental illness and to promoting the overall mental health of all Americans.,http://takeaction.mentalhealthamerica.net/site/Donation2?df_id=2421&2421.donation=form1,http://www.mentalhealthamerica.net/get-involved,http://www.mentalhealthamerica.net/sites/all/themes/bwm_njord/images/facebook-icon.png,@mentalhealtham,disabled
Multidisciplinary Association for Psychadelic Studies,MAPS,http://www.maps.org/,"Founded in 1986, the Multidisciplinary Association for Psychedelic Studies (MAPS) is a 501(c)(3) non-profit research and educational organization that develops medical, legal, and cultural contexts for people to benefit from the careful uses of psychedelics and marijuana.",https://store.maps.org/np/clients/maps/donation.jsp?campaign=11,http://www.maps.org/participate,http://www.facebook.com/mapsmdma,@maps,drug_war
DanceSafe,,https://dancesafe.org/,"DanceSafe is a 501(c)(3) public health organization promoting health and safety within the nightlife and electronic music community. Founded in the San Francisco Bay Area in 1998 by Emanuel Sferios, DanceSafe quickly grew into a national organization with chapters in cities across North America.",https://beta.dancesafe.org/donate,https://beta.dancesafe.org/en/visionaries,https://www.facebook.com/like.dancesafe,@DanceSafe,drug_war
Drug Policy Alliance,DPA,http://www.drugpolicy.org/,"The Drug Policy Alliance (DPA) is the nation's leading organization promoting drug policies that are grounded in science, compassion, health and human rights.",https://engage.drugpolicy.org/secure/donation?ms=1B1_XXXXRightCorner&utm_campaign=fy17website&utm_medium=web&utm_source=XXXXwsc3RightCorner&cid=701U0000000xycW&_ga=1.91759506.900248037.1479159307,http://www.drugpolicy.org/action,http://www.facebook.com/drugpolicy,@DrugPolicyOrg,drug_war
Audubon Society,,http://www.audubon.org,"Audubon’s mission is to conserve and restore natural ecosystems, focusing on birds, other wildlife, and their habitats for the benefit of humanity and the earth's biological diversity.",https://secure.audubon.org/site/Donation2?df_id=9429&9429.donation=form1&s_src=2015_AUDHP_topbanner_button-donate,http://www.audubon.org/takeaction,https://www.facebook.com/NationalAudubonSociety/,@audobonsociety,environmental
World Wildlife Fund,WWF,http://www.worldwildlife.org/,"The world’s leading conservation organization, WWF works in 100 countries and is supported by more than one million members in the United States and close to five million globally.",https://support.worldwildlife.org/site/SPageServer?pagename=main_monthly&s_src=AWG1610SS912&_ga=1.241490756.751558096.1479159628,http://www.worldwildlife.org/how-to-help,http://www.facebook.com/worldwildlifefund,@world_wildlife,environmental
Asian American Legal Defense and Education Fund,AALDEF,http://www.aaldef.org/,"Founded in 1974, the Asian American Legal Defense and Education Fund (AALDEF) is a national organization that protects and promotes the civil rights of Asian Americans. By combining litigation, advocacy, education, and organizing, AALDEF works with Asian American communities across the country to secure human rights for all.",http://aaldef.org/support/,http://aaldef.org/support/volunteer/,http://www.facebook.com/pages/Asian-American-Legal-Defense-and-Education-Fund-AALDEF/298112369682,@aaldef,racial_minorities immigrants
Korean American Coalition,KAC,http://www.kacla.org/,"The Korean American Coalition - Los Angeles (KAC) is a 501(c)(3) nonprofit organization established in 1983 to promote the civic and civil rights interests of the Korean American community. KAC endeavors to achieve these goals through education, community organizing, leadership development, and coalition-building with diverse communities.",http://www.kacla.org/donation.html,http://www.kacla.org/membership.html,https://www.facebook.com/koreanamericancoalition,@KACLA1983,racial_minorities immigrants
Japanese American Citizens League,JACL,https://jacl.org,"Founded in 1929, the JACL is the oldest and largest Asian American civil rights organization in the United States. The JACL monitors and responds to issues that enhance or threaten the civil and human rights of all Americans and implements strategies to effect positive social change, particularly to the Asian Pacific American community.",https://jacl.org/donate/,https://jacl.org/member/,https://www.facebook.com/JACLNational,@JACL_DC,racial_minorities
National Asian Pacific American Women's Forum,NAPAWF,https://napawf.org,"NAPAWF is a bridge. We bridge the many issues that confront AAPI women and their communities. We bridge the diversity of the 40-plus language groups that are represented under the Asian and Pacific Islander census category. We bridge strategies of individual empowerment with a larger vision of mobilizing power for justice, equality and peace.",https://actionnetwork.org/fundraising/i-want-to-help-support-napawfs-seat-at-the-table,https://napawf.org/action-center/,http://www.facebook.com/pages/National-Asian-Pacific-American-Womens-Forum-NAPAWF/79336143191,@NAPAWF,racial_minorities immigrants women
"Committee for Hispanic Children and Families, Inc.",CHCFINC,https://www.chcfinc.org/,"CHCF combines education, capacity-building, and advocacy to strengthen the support system and continuum of learning for children and youth.",https://chcfinc.org/donation/,https://www.chcfinc.org/volunteer/,https://www.facebook.com/chcfinc,@CHCF_Inc,racial_minorities
Congressional Hispanic Caucus Institute,CHCI,http://chci.org/,"For nearly 40 years, CHCI has Educated, Empowered, and Connected the nation’s future Latino leaders through our leadership development programs.",http://chci.org/donate/,,https://www.facebook.com/CHCIDC?ref=mf,@chci,racial_minorities
Mexican American Legal Defense,MALDEF,http://www.maldef.org/index.html,"Founded in 1968, MALDEF is the nation’s leading Latino legal civil rights organization. Often described as the “law firm of the Latino community”, MALDEF promotes social change through advocacy, communications, community education, and litigation in the areas of education, employment, immigrant rights, and political access.",http://www.maldef.org/donate/index.html,,http://www.facebook.com/MALDEF,@MALDEF,racial_minorities immigrants
National Institute for Latino Policy,NILP,http://www.nilpnetwork.org/,"The National Institute for Latino Policy (NiLP) is a nonpartisan center established in 1982 in New York City, originally as the Institute for Puerto Rican Policy (IPR). NiLP provides a unique approach and voice to the policy analysis and advocacy needs of the Latino community in the United States. Originally focused on the Puerto Rican community, our work has grown organically to include all Latinos and has gone from a local to a national focus.",,,http://www.facebook.com/pages/National-Institute-for-Latino-Policy-NiLP/167903163226?ref=hl,@TheNiLPnetwork,racial_minorities
National Urban League,,http://nul.iamempowered.com/,"The National Urban League is a historic civil rights organization dedicated to economic empowerment in order to elevate the standard of living in historically underserved urban communities. Founded in 1910 and headquartered in New York City, the National Urban League spearheads the efforts of its local affiliates through the development of programs, public policy research and advocacy.",https://org2.salsalabs.com/o/5666/p/salsa/donation/common/public/?donate_page_KEY=7889&track=NULhomepagenv,http://nul.iamempowered.com/in-your-area/affiliate-map,,@NatUrbanLeague,racial_minorities
100 Black Men of America,,http://www.100blackmen.org/,"Our motto, “What They See Is What They’ll Be,” very succinctly expresses how our programmatic services rendered to disadvantaged, disenfranchised and low-income youth and families positively changes their life trajectory.",http://www.100blackmen.org/donate/,http://www.100blackmen.org/chapters/,https://www.facebook.com/100BlackMenOfAmericaInc/,@100BlackMen,racial_minorities youth
Joint Center for Political and Economic Studies,,http://jointcenter.org/,"The Joint Center for Political and Economic Studies is a 501(c)(3) nonprofit public policy organization that produces innovative, high-impact ideas, research, and policy solutions that have a positive impact on people and communities of color.",http://jointcenter.org/content/donate,,http://www.facebook.com/pages/Joint-Center-for-Political-and-Economic-Studies/108026092598817,@jointcenter,racial_minorities
National Black Justice Coalition,NBJC,http://nbjc.org/,"The National Black Justice Coalition (NBJC) is a civil rights organization dedicated to empowering Black lesbian, gay, bisexual and transgender (LGBT) people. NBJC’s mission is to end racism and homophobia.",https://donatenow.networkforgood.org/NBJC,http://nbjc.org/get-involved,http://www.facebook.com/NationalBlackJusticeCoalition,@NBJConTheMove,racial_minorities lgbt
National Council for Negro Women,NCNW,http://www.ncnw.org/,Extraordinary educator and political leader Mary McLeod Bethune (1875-1955) founded NCNW in 1935 as an “organization of organizations” to represent national and international concerns of Black women.,http://ncnw.org/donate-make-a-difference-today/,http://www.ncnw.org/find-sections/,https://www.facebook.com/NCNW-Headquarters-1117087564977698/?fref=ts,@NCNWHQ,racial_minorities women
National Council for Jewish Women,NCJW,http://www.ncjw.org/,"The National Council of Jewish Women (NCJW) is a grassroots organization of volunteers and advocates who turn progressive ideals into action. Inspired by Jewish values, NCJW strives for social justice by improving the quality of life for women, children, and families and by safeguarding individual rights and freedoms.",http://www.ncjw.org/content_323.cfm?navID=119,http://www.ncjw.org/content_58.cfm?navID=19,http://www.facebook.com/pages/National-Council-of-Jewish-Women-NCJW/123635384326141?ref=search&sid=iRdaRi-BzixnFwoOo2v4iw.2031970149..1,@ncjw,women religious_minorities reproduction
Young Women's Christian Association,YWCA,http://www.ywca.org/,"YWCA USA is on a mission to eliminate racism, empower women, stand up for social justice, help families, and strengthen communities. We are one of the oldest and largest women's organizations in the nation, serving over 2 million women, girls, and their families.",http://www.ywca.org/donate,http://www.ywca.org/site/c.cuIRJ7NTKrLaG/b.7515823/k.9AB1/How_You_Can_Help.htm,http://www.facebook.com/profile.php?id=127821707877,@ywcausa,women
